"name","link"
"Ashok Leyland Stile LE 8-STR (Diesel) - Rs. 7,49,990","http://carzoom.in/car-specification/ashok-leyland-stile-le-8-str-diesel/"
"Ashok Leyland Stile LS 8-STR (Diesel) - Rs. 7,99,990","http://carzoom.in/car-specification/ashok-leyland-stile-ls-8-str-diesel/"
"Ashok Leyland Stile LX 8-STR (Diesel) - Rs. 8,29,990","http://carzoom.in/car-specification/ashok-leyland-stile-lx-8-str-diesel/"
"Ashok Leyland Stile LS 7-STR (Diesel) - Rs. 8,49,990","http://carzoom.in/car-specification/ashok-leyland-stile-ls-7-str-diesel/"
"Ashok Leyland Stile LS 7-STR Alloy (Diesel) - Rs. 8,79,990","http://carzoom.in/car-specification/ashok-leyland-stile-ls-7-str-alloy-diesel/"
"Ashok Leyland Stile LX 7-STR (Diesel) - Rs. 8,99,990","http://carzoom.in/car-specification/ashok-leyland-stile-lx-7-str-diesel/"
"Ashok Leyland Stile LX 7-STR Alloy (Diesel) - Rs. 9,29,990","http://carzoom.in/car-specification/ashok-leyland-stile-lx-7-str-alloy-diesel/"
"Aston Martin Rapide LUXE (Petrol) - Rs. 3,50,00,000","http://carzoom.in/car-specification/aston-martin-rapide-luxe-petrol/"
"Aston Martin Rapide S (Petrol) - Rs. 4,40,00,000","http://carzoom.in/car-specification/aston-martin-rapide-s-petrol/"
"Aston Martin V12 Vantage Coupe (Petrol) - Rs. 3,50,00,000","http://carzoom.in/car-specification/aston-martin-v12-vantage-coupe-petrol/"
"Aston Martin V8 Vantage Coupe (Petrol) - Rs. 1,35,00,000","http://carzoom.in/car-specification/aston-martin-v8-vantage-coupe-petrol/"
"Aston Martin V8 Vantage S Coupe (Petrol) - Rs. 2,55,00,000","http://carzoom.in/car-specification/aston-martin-v8-vantage-s-coupe-petrol/"
"Aston Martin V8 Vantage Roadster (Petrol) - Rs. 2,70,00,000","http://carzoom.in/car-specification/aston-martin-v8-vantage-roadster-petrol/"
"Aston Martin Vanquish V12 (Petrol) - Rs. 3,85,00,000","http://carzoom.in/car-specification/aston-martin-vanquish-v12-petrol/"
"Audi A3 Attraction 35 TDI (Diesel) - Rs. 22,95,000","http://carzoom.in/car-specification/audi-a3-attraction-35-tdi-diesel/"
"Audi A3 Premium 35 TDI (Diesel) - Rs. 25,95,000","http://carzoom.in/car-specification/audi-a3-premium-35-tdi-diesel/"
"Audi A3 Premium Plus 40 TFSI (Petrol) - Rs. 28,95,000","http://carzoom.in/car-specification/audi-a3-premium-plus-40-tfsi-petrol/"
"Audi A3 Premium Plus 35 TDI (Diesel) - Rs. 29,95,000","http://carzoom.in/car-specification/audi-a3-premium-plus-35-tdi-diesel/"
"Audi A3 Technology 35 TDI (Diesel) - Rs. 32,66,000","http://carzoom.in/car-specification/audi-a3-technology-35-tdi-diesel/"
"Audi A3 Cabriolet (Petrol) - Rs. 44,75,000","http://carzoom.in/car-specification/audi-a3-cabriolet-petrol/"
"Audi A4 2.0 TDI (Diesel) - Rs. 28,99,000","http://carzoom.in/car-specification/audi-a4-2-0-tdi-diesel/"
"Audi A4 1.8 TFSI (Petrol) - Rs. 30,58,000","http://carzoom.in/car-specification/audi-a4-1-8-tfsi-petrol/"
"Audi A4 2.0 TDI Multitronic (Diesel) - Rs. 33,61,000","http://carzoom.in/car-specification/audi-a4-2-0-tdi-multitronic-diesel/"
"Audi A4 S4 3.0 TFSI quattro (Petrol) - Rs. 52,35,000","http://carzoom.in/car-specification/audi-a4-s4-3-0-tfsi-quattro-petrol/"
